Feature,IC Mean,IC Std,IC IR,IC > 0 (%),|IC| > 0.02 (%),N days
upper_shadow,0.03156695479315915,0.22050580730018474,0.14315702239163977,56.261950286806886,92.87762906309752,2092
log_vol,0.02429163187628267,0.2820935343066815,0.08611197678098399,53.17725752508361,95.22216913521261,2093
ret_5d,0.020611967194388046,0.2475187013279306,0.08327438324379306,52.699474438604874,93.45437171524128,2093
ret_5d_raw,0.020611967194388046,0.2475187013279306,0.08327438324379306,52.699474438604874,93.45437171524128,2093
macd_proxy,0.02162019161507094,0.2862441029166477,0.07553060969562259,53.70281892021023,94.79216435738175,2093
vol_ratio_5d,0.013603699870827126,0.22076419663391827,0.0616209515775125,53.941710463449596,92.64214046822742,2093
vol_ratio_20d,0.012374037084015802,0.22613185803538782,0.05472045023430252,51.07501194457716,93.50215002388916,2093
ret_1d,0.01246663616648684,0.24104894475695215,0.05171827729450073,52.98614429049212,93.35881509794554,2093
ret_1d_rev,0.01246663616648684,0.24104894475695215,0.05171827729450073,52.98614429049212,93.35881509794554,2093
intraday_vol_20d,0.010568610054756183,0.2331800946300057,0.04532380892771201,52.84280936454849,91.78213091256569,2093
ret_vol_20d,0.0112552059201437,0.26074297238241456,0.04316590325447556,52.460582895365505,93.93215480172002,2093
vs_ma60,0.011358806798963577,0.2871058146956967,0.03956313741330098,53.32059245102724,94.98327759197325,2093
vol_ratio_60d,0.00777693362525126,0.22775124858693432,0.03414661247085435,51.31390348781654,92.97658862876254,2093
pct_k_20d,0.006750151490143635,0.252751600490503,0.0267066617067664,50.692785475394174,93.69326325848066,2093
price_zscore_20,0.003293499649142806,0.24748235632461885,0.013308017985826726,50.836120401337794,93.93215480172002,2093
vs_ma20,0.0010205805826174665,0.2701811956028892,0.00377739309480853,50.64500716674629,94.98327759197325,2093
hl_spread,0.0007798675615303254,0.24209703388736936,0.003221301595512908,50.740563784042045,94.21882465360726,2093
ret_60d,-0.007095720943170876,0.29123945904310083,-0.024363872143165783,47.491638795986624,94.55327281414237,2093
ret_20d,-0.01131282271043548,0.27790471881764767,-0.04070755890208039,46.82274247491639,94.69660774008601,2093
intraday_ret,-0.021719399678572296,0.239723006876875,-0.09060206594908796,46.01051122790253,92.73769708552318,2093
vs_ma5,-0.025329121504014823,0.24728886657053767,-0.10242726191148538,46.48829431438127,94.07548972766364,2093
lower_shadow,-0.03299416423147787,0.22116498198834098,-0.14918349159460156,43.738049713193114,93.45124282982792,2092
